Device,iPhone,model,iPhone,version,10.2.1,AppVersion,2.7.2
Year,2017,Month,4,Day,2,Hour,0,Minute,0,Second,0,BatteryUsage, n/a
comments
File created by Mio Go v2.7.2 iPhone App.
sensor,present,smrec,zeroavg,model
pwr,no,no,no,n/a
spd,no,no,no,n/a
cad,no,no,no,n/a
hr,yes,no,no,n/a
footpod,no,no,no,n/a
gps,no,no,no,n/a
workout,starttime,runningtime,spdavg,hravg,manualdist
Y,2017-04-02 15:39:06 +0000,932,0.695089,140,173
interval,starttime,runningtime,spdavg,hravg,manualdist
1,2017-04-02 15:39:06 +0000,932,0.695089,140,173
time(seconds),hr_heartrate(1s),calories(12s),step_data(60s),manual_dist(12s),interval,pace_data(12s),speed_data(12s)
1,96,0,0,0,1,0,0
2,93,0,0,0,1,0,0
3,91,0,0,0,1,0,0
4,91,0,0,0,1,0,0
5,91,0,0,0,1,0,0
6,87,0,0,0,1,0,0
7,87,0,0,0,1,0,0
8,87,0,0,0,1,0,0
9,83,0,0,0,1,0,0
10,84,0,0,0,1,0,0
11,85,0,0,0,1,0,0
12,85,0,0,(null),1,0,0
13,86,0,0,0,1,0,0
14,86,0,0,0,1,0,0
15,87,0,0,0,1,0,0
16,87,0,0,0,1,0,0
17,87,0,0,0,1,0,0
18,87,0,0,0,1,0,0
19,87,0,0,0,1,0,0
20,87,0,0,0,1,0,0
21,87,0,0,0,1,0,0
22,88,0,0,0,1,0,0
23,88,0,0,0,1,0,0
24,88,0,0,(null),1,0,0
25,88,0,0,0,1,0,0
26,88,0,0,0,1,0,0
27,91,0,0,0,1,0,0
28,91,0,0,0,1,0,0
29,104,0,0,0,1,0,0
30,109,0,0,0,1,0,0
31,110,0,0,0,1,0,0
32,110,0,0,0,1,0,0
33,116,0,0,0,1,0,0
34,117,0,0,0,1,0,0
35,116,0,0,0,1,0,0
36,116,0,0,(null),1,0,0
37,116,0,0,0,1,0,0
38,115,0,0,0,1,0,0
39,115,0,0,0,1,0,0
40,115,0,0,0,1,0,0
41,115,0,0,0,1,0,0
42,115,0,0,0,1,0,0
43,115,0,0,0,1,0,0
44,115,0,0,0,1,0,0
45,115,0,0,0,1,0,0
46,115,0,0,0,1,0,0
47,115,0,0,0,1,0,0
48,115,0,0,(null),1,0,0
49,115,0,0,0,1,0,0
